,date,type,value
596,2021-09-29,DistanceWalkingRunning,4.60205
597,2021-09-29,FlightsClimbed,11.0
598,2021-09-29,StepCount,6744.0
599,2021-09-30,DistanceWalkingRunning,5.2744100000000005
600,2021-09-30,FlightsClimbed,18.0
601,2021-09-30,StepCount,7290.0
602,2021-10-01,DistanceWalkingRunning,2.1600200000000003
603,2021-10-01,FlightsClimbed,16.0
604,2021-10-01,StepCount,3032.0
605,2021-10-02,DistanceWalkingRunning,11.47624
606,2021-10-02,FlightsClimbed,22.0
607,2021-10-02,StepCount,16565.0
608,2021-10-03,DistanceWalkingRunning,6.58653
609,2021-10-03,FlightsClimbed,3.0
610,2021-10-03,StepCount,9941.0
611,2021-10-04,DistanceWalkingRunning,1.5560800000000001
612,2021-10-04,FlightsClimbed,11.0
613,2021-10-04,StepCount,2567.0
614,2021-10-05,DistanceWalkingRunning,2.64403
615,2021-10-05,FlightsClimbed,16.0
616,2021-10-05,StepCount,4360.0
617,2021-10-06,DistanceWalkingRunning,4.13068
618,2021-10-06,FlightsClimbed,21.0
619,2021-10-06,StepCount,6196.0
